cluster 0 gene,cluster 0 score,cluster 1 gene,cluster 1 score,cluster 2 gene,cluster 2 score,cluster 3 gene,cluster 3 score,cluster 4 gene,cluster 4 score,cluster 5 gene,cluster 5 score
Lpp,1.0601959,Ptprs,1.9309808,Fbrsl1,0.32027882,Cbx1,3.6640189,Top2b,0.9739115,Cpa2,0.74268925
Rev3l,1.0595614,Chuk,1.9286337,Usp32,0.32004777,Adgra3,3.6622527,Asap2,0.9635327,Uri1,0.7419272
Sep15,1.0584568,Rcan3,1.9247642,Sharpin,0.31993222,E2f3,3.657963,Stk16,0.96123517,Cstf3,0.7413557
Tmcc3,1.0568587,Cdc27,1.9223324,Prkar2b,0.31831464,Psmd5,3.6569536,Ythdc1,0.96054435,Fgfr1op2,0.7390697
Mast4,1.0564121,Ppp2r4,1.921106,Wdr33,0.31698593,Sfpq,3.6564658,Khdrbs1,0.95684904,Esd,0.7376219
BC005624,1.0556365,Polr2j,1.9207255,Nrip1,0.31675485,Mex3c,3.6544135,Gm15800,0.95378035,Prr12,0.7375838
Zzz3,1.0550255,Lin37,1.9204293,Rpl10,0.3158883,Sppl2a,3.6531181,Slc30a9,0.9499405,Luc7l2,0.736517
Thtpa,1.0544379,Clpx,1.9181457,Fosb,0.3154261,Traf3ip2,3.6528995,Narf,0.9480768,Arpc2,0.7358312
Pds5b,1.0520642,Nploc4,1.914847,March4,0.3152528,Wasl,3.6514864,Epb41,0.94719315,Vps13d,0.73510724
Pced1b,1.0518997,Pccb,1.9116118,Ell,0.31513727,Arl5a,3.6510153,Slc25a16,0.9416663,Scamp1,0.7349549
Pkdcc,1.0509831,Ccng1,1.9096876,Txndc5,0.31444404,Smarcc1,3.6501238,Ywhag,0.9334082,Ppp1r35,0.73415476
Gtf2f2,1.050748,Adrbk2,1.9096242,Uaca,0.31421295,Nxf1,3.6492827,Fktn,0.93143207,Stk11,0.7341167
Rora,1.0506775,Fam20c,1.9078057,Dock6,0.3131153,Nufip1,3.6461706,Rspry1,0.93038774,Zc3h7a,0.73384994
Bad,1.0492203,P4htm,1.8983538,Mov10,0.31242207,Eif2d,3.6397781,Psma3,0.92744756,Hsf1,0.73350704
Supt20,1.0424516,Smg5,1.8957529,Rab3gap1,0.3123643,Ctdspl,3.6307783,Fam118b,0.9235917,Yipf1,0.73327845
Brf1,1.0373046,Prr12,1.8949071,Tspan17,0.3115555,3110082I17Rik,3.626169,Rasa1,0.9212138,Hint3,0.73133534
Dph3,1.0363644,Rdh14,1.8862587,Ube4b,0.31143996,Ccdc18,3.6237128,Syncrip,0.92060333,Fbxo28,0.729316
Ncoa2,1.0356125,Ccdc186,1.8857512,Ncor1,0.31092003,Smim4,3.6201634,Rhou,0.91848254,Exoc2,0.7290874
Fip1l1,1.0352129,1110004E09Rik,1.8836156,Hs2st1,0.31092003,Atp5g1,3.6177242,Rpap2,0.9182576,Rrnad1,0.7288969
Ralgapb,1.0346959,Anks3,1.8775469,Itfg2,0.3104579,Nubpl,3.6171017,Rbm8a,0.9170526,Ift74,0.7271443
Dync1i2,1.0324631,St3gal5,1.8761936,BC031181,0.3082626,Dcp2,3.6141746,Zfp7,0.90786266,Hp1bp3,0.7264585
Arid1b,1.031805,Tm7sf3,1.874798,Lman2,0.30774266,Ski,3.6084046,Cblb,0.90758955,Map3k2,0.7254679
Coro1c,1.0312175,Morf4l1,1.8676298,Itpa,0.3064717,Vrk3,3.6053767,Pdcd4,0.9034926,Tmem186,0.7246297
Erich1,1.0302068,2310030G06Rik,1.865325,Daam1,0.3053163,Aatf,3.6040814,Nmral1,0.8984317,Exoc5,0.7244392
Inpp4a,1.0295488,Osbpl11,1.8628721,Wnk1,0.305143,Rcbtb1,3.602029,Acox1,0.89398134,Ddx42,0.7201719
Nav2,1.0290083,Srsf7,1.8627664,Rp9,0.30468082,Cnot1,3.5982945,Tulp4,0.8911215,Oxct1,0.7196385
Tbc1d1,1.027081,Galk2,1.8624492,Dhx57,0.30450752,Prkag2,3.593231,Cnbp,0.8903021,Cspp1,0.71944803
Uhrf2,1.0251538,Ei24,1.8612227,Dpysl2,0.30444977,Hsd17b12,3.5896478,Capn10,0.8891614,Ubr7,0.71937186
Hmox2,1.021182,1810013L24Rik,1.8609691,Ufd1l,0.30248556,Atp5a1,3.5782256,Rrn3,0.8856911,Eprs,0.71887654
Rasgrf1,1.0210409,Snx10,1.8608422,Akap8l,0.3014457,Bmpr1a,3.5623453,Eif4e2,0.8821083,Rnls,0.71880037
Nr6a1,1.0176566,Sgms2,1.8604827,Fam204a,0.3012146,Ctc1,3.5609996,Mapk8,0.8806623,Tm9sf2,0.7183812
Srrm3,1.0171394,Hook3,1.8577973,Ska2,0.30115685,Wee1,3.55708,Josd2,0.8795055,Ppp2r5c,0.71796215
Ccny,1.0163404,Sec24b,1.8569304,Nf2,0.3010413,Tsn,3.553951,Poldip2,0.8772562,Atp1b1,0.71723825
Mon2,1.0162228,Akap8l,1.855281,Stk19,0.30075246,Celsr1,3.5524201,Matr3,0.87577814,Mpc2,0.71636194
Ywhah,1.0153062,Ndufs7,1.8534414,Ppm1d,0.30052137,Manbal,3.551411,Otud5,0.87548894,Klhl22,0.7155237
Abca1,1.0131911,Cdk14,1.8508404,Lrba,0.29797947,Syne4,3.5497456,Ccs,0.8740751,Ttc1,0.7126662
Kdm7a,1.012674,Sppl3,1.8502061,Slc4a7,0.29769063,Top3b,3.5473566,Spire2,0.87270945,Stxbp1,0.7123995
Ppfia1,1.0122745,Pgam5,1.8488106,Pgm2,0.29763284,Luc7l3,3.5462296,Pmpca,0.8717937,Zc3h18,0.71137077
Ap2b1,1.0106058,Tm9sf2,1.8487682,Ptpn4,0.29572645,Myo5b,3.5368934,Thoc3,0.8640818,Strip1,0.7093515
Gemin6,1.0095482,Kif3b,1.8466115,Cflar,0.29537982,Btf3,3.5354297,Gapvd1,0.86305356,Ppfibp1,0.7090086
Fam213b,1.0087961,March4,1.8462943,Zfp664,0.2944555,Tgs1,3.5334952,Eif4a2,0.86024195,Ptpra,0.70634156
Uvrag,1.0086316,Dpagt1,1.8441163,D15Ertd621e,0.29428217,Obsl1,3.5331588,Brd7,0.8593101,Arsb,0.7063034
Dock6,1.0077854,Rsbn1l,1.8435031,Smim22,0.2936467,Ppp2r4,3.532284,Map7,0.85895663,Fam178a,0.7047032
Foxk1,1.0069159,Mob1b,1.8396336,Phkb,0.2934156,Garem,3.531342,Atp6v1c1,0.8582176,Arpc3,0.70439845
Nfkb1,1.0058818,Fopnl,1.8394644,Zmynd11,0.29254907,Palld,3.5299962,Zfp397,0.8579444,Ywhaq,0.7012361
Klhl32,1.0020744,Tmem126a,1.8362503,Atl2,0.2922602,Acot8,3.5169253,3010003L21Rik,0.8578159,Hook3,0.7010075
Ythdf3,1.0007348,Arl8b,1.835616,Mok,0.29145142,Trmt2b,3.5061255,Leo1,0.85490793,Nup88,0.7007408
Ap2a1,0.99878407,Pacsin1,1.8291032,Pkhd1,0.29133588,Fam172a,3.5029628,Mpc1,0.8541367,Ubn1,0.700436
Smim13,0.9982905,Wipi2,1.8249165,Cryzl1,0.2907004,Nek1,3.5023572,Brcc3,0.85211235,Acot7,0.69731176
Ankib1,0.99311996,2310035C23Rik,1.8230556,Lpgat1,0.2903538,Ptpn11,3.5022058,Nudt3,0.85024863,Sec23a,0.6968546
Hmgn5,0.9918273,Otud5,1.8220196,Zfp704,0.2893139,Specc1,3.498219,Napa,0.84918827,Rbm33,0.69658786
Tmem183a,0.9917568,Tlk2,1.8201376,Fmn2,0.28867844,Csrp2bp,3.497361,Nap1l4,0.8471639,Brwd1,0.69628304
Vps37a,0.98917156,Mcu,1.8174733,Rsbn1l,0.28786966,Nedd8,3.4952078,Phrf1,0.8450592,Stxbp5,0.6935017
Eml2,0.988584,Zswim8,1.8172407,Rnf14,0.28654096,Ccs,3.4947367,Trmt6,0.842826,Amfr,0.69266355
Apba1,0.9884665,Ap1m2,1.8165853,Nploc4,0.28619432,Tcf4,3.4930377,Clstn2,0.8425047,Trnau1ap,0.68984413
Chfr,0.98827845,Ets2,1.8156126,Clcn5,0.2855011,Zfp422,3.4860902,Asap1,0.8419102,Lrrn2,0.6892345
Stk4,0.98625726,Gm15441,1.8146821,Tmc4,0.28538555,Adam17,3.4825237,Slit1,0.8378454,Dcp1b,0.6880153
Srp72,0.9855757,Csk,1.813625,Slc25a23,0.2833058,Trappc6a,3.480808,Nav1,0.8371706,Pon3,0.6863389
Med15,0.98517615,Cmpk1,1.813498,Nek9,0.2831325,Mettl2,3.4786882,Tmem55b,0.8366083,Arl5a,0.6858817
Plk2,0.98360145,Slc3a2,1.8102417,Specc1l,0.28301695,Ttk,3.4749033,Taf11,0.83659226,Samd4b,0.6842434
Ak8,0.9832019,Ptprz1,1.8084655,Jkamp,0.28267035,Mboat2,3.4687295,Aurkaip1,0.83485705,Ypel2,0.6840529
Cuedc1,0.9819798,Eml5,1.808254,Nphp1,0.28249702,Krtcap3,3.4660044,Eif3c,0.8340698,Acot13,0.68393856
Cyld,0.9819563,Exoc5,1.8061818,Robo1,0.28128386,Trpm7,3.4641876,Exoc5,0.8310654,Dnajc3,0.68344325
Psen2,0.9763392,Dpp6,1.8055686,Msrb1,0.2804173,Smad2,3.4597464,Cdc42bpa,0.8276754,Lcor,0.6827955
Mfhas1,0.9756106,Synj1,1.8036021,Efna5,0.27978182,Xrcc5,3.4586363,Ddx20,0.8270649,Chm,0.68222404
Chm,0.9753521,E330009J07Rik,1.8018682,Pak1ip1,0.27949297,Ypel2,3.4516213,Zfp949,0.82647043,Zfp612,0.68111914
Acox1,0.97415346,Polb,1.8006206,Fam13b,0.27937743,Etf1,3.4480045,Zfp810,0.8251851,Mtf1,0.68039525
Trip4,0.9728373,Dync1li1,1.7965819,Fgd4,0.27868417,Frmd4b,3.4457166,Ube2n,0.8200921,Tnik,0.677271
Arfgef3,0.9722733,Daam1,1.7958629,Gtdc1,0.27827978,Mob3b,3.437188,Rpl35,0.8196743,Cecr2,0.6768138
Hmg20a,0.9706751,Pxk,1.7881026,Traf6,0.2760845,Mrpl48,3.4365487,Zscan21,0.8173929,Sdc2,0.6767376
Npepps,0.9701816,Agtrap,1.7877432,Baz2b,0.27487135,Hmox2,3.4333692,Bfar,0.80547166,Bnip1,0.6765852
Pdzd8,0.969735,Srrm3,1.7856498,Spire2,0.27423587,Poc1a,3.4299037,Ccz1,0.8046844,Klhl2,0.6750231
Anxa6,0.9636009,Ndufs3,1.7849731,Ppp1r8,0.2741781,Orc5,3.4298701,Rev3l,0.80420244,Apbb2,0.6749469
Larp4,0.96303684,Ube2z,1.7792428,Pop5,0.2737737,Nphp1,3.4257991,Brms1l,0.8003465,Ap1b1,0.6749088
Gria3,0.9616502,Armc8,1.7786295,Ppil2,0.27348486,Tada3,3.425345,Basp1,0.79764736,Tpp2,0.6747945
2310035C23Rik,0.959817,Prmt1,1.7748657,Eif2ak2,0.2727916,Qser1,3.4248571,Eif3g,0.79663515,Smek2,0.6745659
Sez6l,0.9580073,Fam117b,1.7719265,Nsf,0.272445,Elf1,3.4226198,Arid4a,0.79523736,Zfand3,0.67296565
Canx,0.95784277,Papola,1.7631302,Rap1gds1,0.27186728,Ptms,3.4214928,Arih1,0.7941288,Pcyt2,0.67292756
Kbtbd2,0.9564091,Marveld3,1.7630032,Micu3,0.27059633,Fblim1,3.4140909,Slc25a25,0.78961414,Trafd1,0.67273706
Efr3a,0.9563621,Unc13a,1.7612059,Psmb5,0.26816997,Eif2b5,3.4107769,Ppil2,0.789582,Cdc42,0.67170835
Pomgnt1,0.9543174,Abcg1,1.7575479,Tmem222,0.2659747,Mre11a,3.4094143,Synrg,0.7838624,Ano6,0.6715941
Prosc,0.9542704,Slc39a11,1.7556236,2410018L13Rik,0.26510814,Mtmr12,3.4033415,Chkb,0.7824646,2310030G06Rik,0.67128927
Appbp2,0.95368284,Bcr,1.7546297,Tax1bp1,0.2642416,Bnip2,3.4028537,Papola,0.7783516,Satb1,0.6698033
Anp32e,0.95283675,Fmnl2,1.7537628,Alkbh1,0.26181525,Rnf43,3.4011881,Hnrnpul1,0.7775322,Golim4,0.6694223
Ptprm,0.9522022,Slc35a1,1.7528324,N4bp1,0.26175746,Ergic1,3.3989844,Capn15,0.77743584,Sdhb,0.66843176
Spire1,0.95210814,Rab3gap1,1.7488571,Prpf4b,0.26135308,Zbed4,3.396478,Arl8b,0.7765522,Rras2,0.66831744
Prox1,0.9493114,Nek7,1.7470809,Gab2,0.26123753,Dnajc11,3.386637,Nespas,0.77481705,Pdcd10,0.6670982
Scn3a,0.9476897,Xpo6,1.7452836,Arglu1,0.26117977,Diaph3,3.3787978,Dlat,0.774576,Unc79,0.6662219
Unc79,0.9448694,2410004B18Rik,1.7450721,Snx30,0.25632706,Magt1,3.3720522,Esf1,0.7722464,Mri1,0.66595525
Ckap5,0.9428952,Slc36a1,1.7429576,Atg13,0.2556916,Rps6ka3,3.359099,Vdac3,0.77099323,Vamp7,0.6637073
Klhdc3,0.9424487,Abca7,1.7423021,Anapc16,0.2541318,Slc16a2,3.3566093,Sfi1,0.7703345,Epn2,0.6636311
Ylpm1,0.9379362,Parp6,1.7413929,Pbrm1,0.25401625,Rbm28,3.351445,Sirt6,0.76879215,Chn1,0.6634025
Ncoa1,0.93779516,Gpatch2,1.7399762,Med15,0.2526875,Ddb2,3.32929,Spen,0.7626708,Limch1,0.6633263
Dennd4c,0.9364085,Lrrc41,1.739384,Hspb11,0.25257197,Creb1,3.3289704,Rhbdl3,0.7609839,Lrch2,0.6631739
Sec24d,0.9339173,Fxyd3,1.727141,Lmbr1l,0.25205204,Cnep1r1,3.3266153,Poldip3,0.7586382,Ppa1,0.6630215
Cul5,0.9326716,D5Ertd579e,1.7247516,Gpsm1,0.25089663,Api5,3.3209293,Csde1,0.7579152,Gyg,0.6627929
Ube2e2,0.93196654,Dlc1,1.720882,Plppr2,0.25031894,5730559C18Rik,3.3167741,Nsd1,0.7537058,Osbp,0.66119266
Tdrkh,0.9278301,Leprotl1,1.7196344,Bag4,0.24939461,Ptp4a1,3.3112397,Gm609,0.75225985,2610301B20Rik,0.6610784
Zmym5,0.9274071,Ckap5,1.7185137,Phf8,0.24933684,Sptlc1,3.3085482,Cmc1,0.75144047,Bre,0.6607736
Zfp644,0.92524487,Wwp2,1.7182177,Aak1,0.24916352,4931406P16Rik,3.3034341,Limk2,0.7510709,Fbxw4,0.66065925
Magt1,0.92437524,Foxk2,1.7181966,Mbnl2,0.24916352,Atf7ip,3.2983706,Psma4,0.7454637,Brd8,0.65993536
Sharpin,0.9238582,Mrps18c,1.7171181,Tial1,0.24841252,Met,3.2910697,Itpa,0.7384749,Sars,0.65917337
Ctif,0.92341167,Nelfb,1.7071799,Rora,0.2482392,Rbm34,3.28461,Zfp212,0.73810536,Lars,0.6586019
Cacna1c,0.9217665,Edem3,1.7067147,Cbwd1,0.24795035,Mrpl3,3.2798495,Camsap2,0.7372699,Ndufb3,0.65848756
Fance,0.9216255,Kat6a,1.7063552,Ccdc25,0.24783482,Nsa2,3.2792943,Mrpl20,0.736081,Axin1,0.65742075
Nedd4l,0.92059135,3110082I17Rik,1.7016822,Msmo1,0.24771927,Glis3,3.274954,Acbd5,0.73587215,Zc3h12c,0.65684927
Brd1,0.92033285,Suv420h2,1.7014073,Letm2,0.24760373,Sp1,3.2716906,Rai14,0.7275016,Itsn2,0.65635395
Zcchc17,0.91974527,Iqcb1,1.6969879,Ncoa2,0.24679494,Rnd3,3.270311,Cdc37l1,0.7261038,Usp36,0.6546775
Sms,0.91849965,Cds2,1.6919342,Map4k5,0.24639055,Hnrnpdl,3.2657692,Usp34,0.7186972,Sgsm1,0.6536488
Clasp2,0.91483325,Scn3a,1.6918919,Elf4,0.24621724,Erdr1,3.2640028,Gabbr2,0.7150983,Bad,0.6513628
Map2k1,0.9146218,Rassf3,1.6865634,Acyp2,0.24523515,Tpk1,3.2544646,Zfp280d,0.713813,Nipal2,0.6513247
Rrnad1,0.9140107,Gtf2i,1.6865,Dis3l2,0.24477299,Rassf1,3.2519245,Picalm,0.71190107,Tmem80,0.6511342
Dscr3,0.91356415,Arrdc3,1.6862885,Arid2,0.24471521,Ccser2,3.25073,Pbx1,0.7114191,Inpp4a,0.649534
Ski,0.91166043,Usp8,1.6855695,Fam63b,0.24373312,Prr11,3.2477863,Tceanc2,0.70880026,Crebrf,0.6493816
Rnf103,0.9027765,Dhx57,1.6854427,Clpx,0.24367535,Wdyhv1,3.2451115,Mical2,0.7078845,Edem3,0.6493054
Rbbp7,0.9021654,Agpat5,1.6837299,Smyd3,0.24361758,Clcn5,3.2442367,Midn,0.707033,Txnrd2,0.6489244
Npas3,0.90162486,Uqcrh,1.6822497,Sec63,0.24257772,Szrd1,3.2324276,Snx1,0.7063743,Orc4,0.6470575
Suv420h1,0.9005673,Psmb7,1.6813828,Ppp1r12b,0.24246217,Mad1l1,3.2302911,Alkbh8,0.7052657,Tmem192,0.646486
Taf1,0.8999092,Trim33,1.6808119,Ddx49,0.24107568,Txn2,3.2287602,Ankra2,0.7037394,Nek9,0.64564776
Gm26760,0.8996507,Fam49b,1.6802409,Pdcl3,0.24009359,A830080D01Rik,3.2262537,Pdpk1,0.70237374,Kin,0.6438189
Otud4,0.8989221,Ctnnbl1,1.679522,Pvrl2,0.23847601,Smyd3,3.2164295,Gsk3b,0.6906935,Ppp3cb,0.642714
R3hdm1,0.89307,Snx14,1.6780418,Sh3pxd2a,0.23836048,Pde7a,3.2152689,Dnttip1,0.68961704,Alas1,0.6414948
Rab3gap1,0.89116627,Asb7,1.6762022,Vkorc1l1,0.23651183,Jmjd1c,3.21431,Ctif,0.6894403,Cryzl1,0.6414567
Eml4,0.88792294,Cbx4,1.6739396,Rufy3,0.23529865,Ikzf2,3.21071,Hibch,0.6891511,Dtd1,0.640047
Bdp1,0.88757044,Fam222a,1.6723114,Senp7,0.23379661,Wasf2,3.2044353,Dnajb6,0.6853755,Rmdn1,0.6390183
Clip1,0.88684183,Gemin7,1.6706198,Brwd1,0.23350777,Ptdss1,3.204368,Abhd17b,0.6849578,Cnot6l,0.63536066
Copb2,0.88608974,Rims2,1.670345,Smurf1,0.23327668,Stau2,3.2007008,B630005N14Rik,0.68482924,Gramd3,0.63307464
Ppard,0.8858547,Amfr,1.6673212,Mfsd11,0.23287229,Mettl16,3.1919196,Ostf1,0.6824514,Psmd13,0.63101727
Rasa2,0.8854552,Lrch2,1.6631979,Sbf2,0.23281452,Hif1a,3.1835084,Jade3,0.68221045,Tor1aip1,0.6309791
Pmvk,0.8827289,Tnrc6c,1.6617389,Zbtb7c,0.23229459,Sephs1,3.1818767,Glul,0.68177664,Wdtc1,0.63036954
Nipbl,0.88247037,Fam155a,1.6580385,Snapc3,0.23113918,Abhd6,3.1790843,Dip2b,0.6804431,Neo1,0.62857884
Arl2bp,0.8795326,Eif2b4,1.6556278,Ift22,0.23102364,Pcdh9,3.1755683,Mrpl21,0.6802021,Pde4dip,0.6258737
Tom1l2,0.87896854,Scpep1,1.6545284,Psen1,0.22998378,Ddx20,3.1750133,Cacfd1,0.67216897,Scaf1,0.625607
Ncoa6,0.8778404,Mrpl40,1.6533442,Mast4,0.22981046,Tbl3,3.1740208,Dynlt3,0.67117286,Tex30,0.6252641
Pea15a,0.87762886,Trim44,1.652435,Med13l,0.22801958,Hnrnpc,3.1737683,Rnf13,0.6702731,Mfhas1,0.625226
Arid1a,0.8770413,Rps6ka3,1.6509548,Gmfb,0.2273841,Mrps18c,3.1691759,March7,0.6676543,Med14,0.6250736
0610009O20Rik,0.87661827,Fntb,1.6494535,Serf2,0.2268064,Cacul1,3.1685367,Ppp4c,0.66514796,Ptprm,0.62484497
Prdm2,0.8761012,Slc25a25,1.6489882,Usp8,0.22617093,Dnttip1,3.1663666,Plekhg1,0.66484267,Znrf1,0.623702
Atp6ap1,0.8757722,Zadh2,1.6481214,B230118H07Rik,0.22605538,Abl1,3.165761,Zfp141,0.66317177,Arrdc4,0.62160647
Trappc4,0.87288135,Nol4l,1.6465354,Ptdss1,0.22588208,Stxbp3,3.1654077,Dusp16,0.66089034,Dnah9,0.621035
Csnk1g2,0.8728344,Eif5,1.6440191,Nub1,0.22472668,Dync1li2,3.1621778,Letmd1,0.65753245,Klhdc3,0.62027293
Myg1,0.8721763,Rmdn1,1.6435117,Abcb9,0.2235135,Mrpl21,3.1617908,Kptn,0.6570344,Cd164l2,0.6201205
Vps54,0.87196475,Arl6ip5,1.6416932,Map3k3,0.22258916,Prpf8,3.1614714,Ccdc112,0.65674525,Psmb2,0.61993
Fam35a,0.8683924,Fam179b,1.6388597,Stxbp5,0.222127,Gatad1,3.1602433,Rabggtb,0.65611863,Vps37a,0.6192442
2610507B11Rik,0.8674053,Ppfia1,1.6360686,Ckap5,0.22149153,Fam171a1,3.155247,Cox7a2,0.6549297,Mterf4,0.6189014
Prkab2,0.8666532,Tbc1d9b,1.6341655,Fbxo18,0.22091383,BC003331,3.1542041,Glce,0.6369032,Ctnnd2,0.6188632
Psmb4,0.86578363,Tox4,1.6332774,Uhrf2,0.21970065,Lrrc1,3.1534808,Dram2,0.6369032,Pigv,0.6181393
Ldlrad4,0.8655721,Cops8,1.6275893,Herpud2,0.21946956,Zmym3,3.150419,Gskip,0.6335775,Fuca1,0.61772025
Rab40c,0.86503154,2510039O18Rik,1.6274413,Ttc39a,0.21935403,Cox10,3.1484003,Fzd3,0.63137645,Elmod1,0.6170725
Glb1,0.86477304,Rab18,1.6272721,R3hcc1l,0.21854524,Obfc1,3.1403425,Hdgfrp3,0.63092655,Stim2,0.61524373
Apc,0.86385643,Actr1b,1.6268493,Yeats2,0.21606112,Copg2,3.13861,Ctnna1,0.626926,Map2,0.614215
Zfp710,0.86343336,Hmgcl,1.6250097,Stxbp3,0.21548341,Gpc6,3.1378024,Sertad3,0.62379307,Trmt1l,0.6141007
Tmem181a,0.8626813,Pip4k2c,1.6226202,Pkdcc,0.21502125,Ubap2,3.131494,Ccar1,0.6228291,Map3k3,0.61398643
Rai1,0.86235225,Araf,1.6222185,Irf2,0.21496348,Yipf5,3.1307034,Arhgef10l,0.62266845,Eml4,0.613453
Man2c1,0.86124766,Rnf214,1.6193004,Casd1,0.21467464,Arglu1,3.12961,Riok1,0.6216081,Pqbp1,0.6133768
Dguok,0.8612242,Chfr,1.6178414,Nmt2,0.21450132,Limch1,3.1270697,Usp15,0.62014604,Aspscr1,0.6131101
Vps41,0.8611301,Dennd6a,1.6155366,B3gat3,0.21444355,Tbc1d4,3.1257744,Faf1,0.62000144,Pdzd11,0.6128815
Rictor,0.8598845,9930021J03Rik,1.6057252,Ppil6,0.21380807,Tjp1,3.1248324,Rab11a,0.6198086,Cacna1a,0.6107098
Camk2g,0.85739326,Fastk,1.6007984,Stx1a,0.21369253,Eefsec,3.1196175,Mkln1,0.619664,Mrpl10,0.6091096
Ube3c,0.8567822,Arhgap26,1.5997411,Npepps,0.21363476,Cdk19,3.11664,Gmeb2,0.6154546,Abhd18,0.6083857
Lcmt1,0.85372686,Tmem167,1.5967174,Ankfy1,0.21242158,Bmpr2,3.1132755,Ndufa9,0.61228955,Cbx4,0.60834754
Copb1,0.8524342,Ern1,1.5954486,Wdtc1,0.21230605,Clpb,3.1088681,Klc2,0.6105865,Scaf8,0.60830945
Usp9x,0.84771025,Btbd1,1.5948988,Sik3,0.21207497,Ints9,3.1069672,Ubxn7,0.60533285,Nf1,0.60754746
Deaf1,0.8472402,Gnpat,1.5938839,Abca3,0.2104574,Raver1,3.1063616,Gprc5b,0.60473835,Plekha5,0.6075094
Spcs2,0.8471697,Stox2,1.5930169,Itsn2,0.20941752,Wwp1,3.103771,Gpatch8,0.5975406,Sertad3,0.60743314
Acot8,0.8451015,Slc30a9,1.5925306,Ube2g1,0.20901313,Upf3b,3.103031,Kmt2a,0.5909374,St3gal3,0.6073189
Micu2,0.8416466,Phf21a,1.5888724,Ubn2,0.20866652,Ptprg,3.1027448,Gmeb1,0.58626205,Ubald1,0.6030135
Pdcd2l,0.84103554,Mpv17l,1.5879843,Actn4,0.20785773,Rhobtb1,3.0991786,Pggt1b,0.58587646,Uba1,0.60259444
Xrcc6,0.8398134,Actr10,1.5873288,Ino80d,0.2073378,Xrcc1,3.0931225,Zmym2,0.58345044,Msh3,0.6022134
Slc25a23,0.8388028,Samd10,1.5838399,Sugp1,0.20710671,Polr1c,3.0889,Nup50,0.58258283,Dner,0.6016419
Ube4a,0.83819175,Igf2bp3,1.5835227,Glb1,0.20647123,Ccnh,3.0842907,Arl6ip6,0.5779236,Tpd52l2,0.6007275
Smim4,0.8358415,Dhrs4,1.5820214,Tsc22d2,0.20462258,Immt,3.0832646,Pcm1,0.5737142,Rpf2,0.5996226
Snx14,0.83353823,Pank1,1.5801606,Polr3e,0.20456482,Llgl1,3.0812292,Pard6g,0.5726217,Idh3b,0.59813666
Akap13,0.8322926,Ormdl2,1.578469,Chkb,0.20364049,Pkp4,3.075106,Cdadc1,0.57127213,Snx18,0.59798425
Glrx2,0.8302244,Aftph,1.5780038,Thtpa,0.20358272,Maml2,3.0712032,Nt5c,0.56833196,Slc17a5,0.5977557
Psmg2,0.8301539,Ube2f,1.5744725,Nr2c2ap,0.2032361,Cald1,3.0696723,Rab10,0.56527936,Slc30a7,0.5957745
Ccnd2,0.8299659,Dusp10,1.5722735,Ndst4,0.20317833,Ammecr1l,3.0684106,Galnt12,0.5648938,Pkn1,0.59417427
Fermt2,0.82756865,Mum1l1,1.5713642,Prkcb,0.20306279,Gatad2a,3.06619,Fcf1,0.56269264,Fnip1,0.59310746
Dnah9,0.8259705,Nkx2-2,1.5693343,Sacm1l,0.20294724,Adck5,3.061766,Ptrh2,0.5601221,Rfesd,0.59295505
Adam23,0.8245838,Atp2b1,1.5692285,Pgap1,0.2026584,Pcnxl4,3.0548856,Yme1l1,0.5593187,Map3k15,0.5926883
Dlst,0.82164603,Abl2,1.5675157,Phip,0.20254286,Spag5,3.0506968,Ggps1,0.5589974,Rsrc2,0.59047854
Txnrd2,0.8207764,Ergic3,1.5640903,Lta4h,0.20219624,Ntmt1,3.0464745,Smg6,0.55796915,Dnajc17,0.5888783
Deptor,0.8206589,Dnm1l,1.5618278,Ep300,0.20132968,Phf14,3.0462894,Kras,0.55128556,Shoc2,0.58800197
Sp3os,0.8175331,Zbtb11,1.5613837,Trmt112,0.20080975,Cul1,3.0425043,Tm2d3,0.54885954,Setd2,0.586097
Ndufv1,0.8150653,Ift88,1.5612146,Gapvd1,0.20034759,Tmem98,3.0422184,Wac,0.5488113,Lztfl1,0.58442056
Rab7,0.8149948,Pdcd6,1.5601995,Dennd5a,0.20023204,Wiz,3.0413773,Rpl13,0.5475742,Mtmr3,0.583811
Trim44,0.81454825,Vamp4,1.5578313,Sdccag8,0.19982766,Yars,3.0413268,Wdr70,0.5472689,Foxp2,0.5811058
Kif3b,0.8130676,Pcyt2,1.5539618,Wwox,0.19930771,Rapgef6,3.0376427,Ppp2r5e,0.5469637,Cox4i1,0.58053434
Fbxw8,0.8129736,Dpf2,1.5530947,Thumpd3,0.19809453,Fam20b,3.0373063,Atp6v1a,0.54468226,Id2,0.57855314
Stxbp5l,0.8124095,Stau1,1.5527775,Upf3b,0.1974013,Gigyf2,3.034211,Ccdc117,0.54448944,Khdrbs1,0.578515
Cblb,0.8111874,Snx3,1.5498595,Zfr2,0.19717021,Exosc10,3.0320578,Rfx2,0.5435898,Dazap2,0.5772577
Uso1,0.8100828,Amz2,1.5451653,C530008M17Rik,0.19636142,Tor1aip1,3.0287437,Ptk7,0.5417903,Mtmr1,0.5767624
BC052040,0.80937773,Sdccag3,1.545123,Eapp,0.19537933,Kank1,3.0268764,Smap1,0.53875375,Nfrkb,0.575848
